true/predicted,KouroshKarimkhany,KevinMorrison,MarkBendeich,NickLouth,KirstinRidley,TimFarrand,EricAuchard,JanLopatka,LynneO'Donnell,PierreTran,AlanCrosby,EdnaFernandes,AaronPressman,WilliamKazer,KarlPenhaul,SimonCowell,RogerFillion,GrahamEarnshaw,JohnMastrini,PeterHumphrey,AlexanderSmith,MatthewBunce,BradDorfman,JonathanBirt,ToddNissen,PatriciaCommins,RobinSidel,KeithWeir,LydiaZajc,DavidLawder,MartinWolk,SamuelPerry,JimGilchrist,BenjaminKangLim,TheresePoletti,MichaelConnor,DarrenSchuettler,ScottHillis,FumikoFujisaki,BernardHickey,MarcelMichelson,LynnleyBrowning,TanEeLyn,JoWinterbottom,MureDickie,SarahDavison,JaneMacartney,KevinDrawbaugh,HeatherScoffield,JoeOrtiz
KouroshKarimkhany,5.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,7.0,2.0,1.0,1.0,3.0,0.0,4.0,4.0,2.0,0.0,5.0,1.0,0.0,9.0,1.0,1.0,2.0,2.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0
KevinMorrison,1.0,20.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,10.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,0.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0
MarkBendeich,1.0,3.0,20.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,3.0,5.0,0.0,0.0,1.0
NickLouth,0.0,0.0,0.0,6.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,7.0,1.0,2.0,6.0,1.0,11.0,4.0,6.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
KirstinRidley,0.0,2.0,1.0,0.0,12.0,0.0,1.0,3.0,0.0,1.0,7.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,4.0
TimFarrand,0.0,0.0,4.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,7.0,0.0,5.0,1.0,1.0,3.0,2.0,6.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0,4.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,2.0
EricAuchard,0.0,1.0,0.0,1.0,2.0,0.0,12.0,2.0,1.0,0.0,8.0,4.0,18.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,5.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0
JanLopatka,0.0,2.0,0.0,0.0,3.0,0.0,2.0,9.0,0.0,1.0,9.0,3.0,7.0,1.0,4.0,2.0,1.0,4.0,9.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,3.0
LynneO'Donnell,2.0,4.0,3.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,3.0,8.0,4.0,0.0,2.0,6.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,7.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,3.0,6.0,3.0
PierreTran,0.0,2.0,0.0,4.0,1.0,0.0,3.0,2.0,1.0,21.0,5.0,2.0,3.0,1.0,4.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0
AlanCrosby,2.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,17.0,3.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,2.0,3.0
